This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network
"152575","ETOILE",-85.8975,36.8275,244,"COOP"
"152791","FARMERS 2 S",-83.5500,38.1167,207,"COOP"
"152903","FLEMINGSBURG",-83.7333,38.4500,287,"COOP"
"153230","GIMLET 9N",-83.1431,38.2186,341,"COOP"
"153389","GRAYSON 2 E",-82.9086,38.3356,177,"COOP"
"153430","GREENSBURG",-85.5022,37.2592,180,"COOP"
"153762","HENDERSON 7",-87.6272,37.7661,131,"COOP"
"153840","HILLSBORO",-83.6631,38.3189,244,"COOP"
"153994","HOPKINSVILLE",-87.5206,36.8492,158,"COOP"
"154138","INEZ 2 E",-82.5167,37.8667,216,"COOP"
"154208","JAMESTOWN WW",-85.0617,37.0056,271,"COOP"
"154375","KENLAKE RESO",-88.1386,36.7600,148,"COOP"
"154449","KNOB LICK 4S",-85.6986,37.0244,311,"COOP"
"154848","LLOYD GREENU",-82.8628,38.6439,164,"COOP"
"155243","MAYSVILLE SE",-83.7872,38.6869,157,"COOP"
"155640","MOUNT STERLI",-83.9333,38.0583,293,"COOP"
"155648","MOUNT VERNON",-84.3333,37.3500,354,"COOP"
"155834","NOLIN RIVER",-86.2492,37.2792,207,"COOP"
"156012","OLIVE HILL 5",-83.1036,38.3422,272,"COOP"
"156136","PAINTSVILLE",-82.7833,37.8167,192,"COOP"
"156595","PROVIDENCE",-87.7622,37.3997,125,"COOP"
"156624","QUICKSAND",-83.3667,37.5333,256,"COOP"
"156882","ROCHESTER FE",-86.8939,37.2164,125,"COOP"
"156890","ROGERS",-83.6428,37.7433,387,"COOP"
"156988","ROUGH RIVER",-86.5044,37.6178,171,"COOP"
"157049","RUSSELLVILLE",-86.8883,36.8550,174,"COOP"
"157158","SANDY HOOK",-83.1167,38.0833,272,"COOP"
"157215","SCOTTSVILLE",-86.2258,36.7458,236,"COOP"
"157431","SKYLINE 1 SE",-82.9925,37.0875,366,"COOP"
"157510","SOMERSET 2 N",-84.6167,37.1167,320,"COOP"
"157652","STANTON 2W",-83.8978,37.8603,219,"COOP"
"157950","TAYLORSVILLE",-85.3089,38.0014,213,"COOP"
"158432","WARNOCK2",-83.0181,38.4944,277,"COOP"
"158551","WEST LIBERTY",-83.2667,37.9167,253,"COOP"
"158711","WILLIAMSBURG",-84.1753,36.7458,329,"COOP"
"160098","ALEXANDRIA",-92.4611,31.3206,27,"COOP"
"160349","ASHLAND",-93.1331,32.1633,73,"COOP"
"160537","BASTROP",-92.0056,32.7689,22,"COOP"
"160555","BATON ROUGE",-91.2069,30.4292,6,"COOP"
"160718","BENTON NO 2",-93.7425,32.6983,49,"COOP"
"161287","BUNKIE",-92.1786,30.9594,17,"COOP"
"161411","CALHOUN RESE",-92.3478,32.5133,55,"COOP"
"161899","CLINTON 5 SE",-90.9733,30.8178,61,"COOP"
"161979","COLUMBIA LOC",-92.1072,32.1667,24,"COOP"
"162212","CROWLEY 2 NE",-92.3478,30.2408,8,"COOP"
"162367","DE RIDDER",-93.2869,30.8428,58,"COOP"
"162534","DONALDSONVIL",-91.0275,30.0717,3,"COOP"
"162981","EUNICE",-92.4303,30.4917,15,"COOP"
"163079","FARMERVILLE",-92.4075,32.7750,55,"COOP"
"163433","GALLIANO",-90.3061,29.4631,2,"COOP"
"163807","GRAND ISLE",-89.9961,29.2339,1,"COOP"
"163979","HACKBERRY 8",-93.4031,29.8889,2,"COOP"
"164030","HAMMOND 5 E",-90.3772,30.5031,11,"COOP"
"164288","HODGES GARDE",-93.3911,31.3747,128,"COOP"
"164355","HOMER 3 SSW",-93.0675,32.7506,116,"COOP"
"164674","JEANERETTE 5",-91.7108,29.9592,6,"COOP"
"164700","JENNINGS",-92.6642,30.2003,8,"COOP"
"165065","LAKE ARTHUR",-92.8144,30.0031,3,"COOP"
"165090","LAKE PROVIDE",-91.1728,32.8064,30,"COOP"
"165266","LEESVILLE",-93.2397,31.1417,76,"COOP"
"165296","LELAND BOWMA",-92.2053,29.7861,1,"COOP"
"165620","LSU BEN HUR",-91.1672,30.3644,6,"COOP"
"166244","MINDEN",-93.2947,32.6053,56,"COOP"
"166364","MOORINGSPORT",-93.9608,32.7050,61,"COOP"
"166394","MORGAN CITY",-91.1761,29.6833,2,"COOP"
"166584","NATCHITOCHES",-93.0856,31.8142,43,"COOP"
"166676","NEW ORLEANS",-90.1333,29.9333,0,"COOP"
"166938","OBERLIN FIRE",-92.7742,30.6039,20,"COOP"
"167691","RAYVILLE",-91.7486,32.4936,27,"COOP"
"167738","RED RIVER RE",-93.6381,32.4219,47,"COOP"
"167932","ROCKEFELLER",-92.8181,29.7286,1,"COOP"
"168163","ST JOSEPH 3",-91.2336,31.9497,19,"COOP"
"168181","ST MARTINVIL",-91.8694,30.0858,9,"COOP"
"168444","SHREVEPORT S",-93.7803,32.3919,61,"COOP"
"168539","SLIDELL",-89.7697,30.2650,3,"COOP"
"168923","TALLULAH",-91.1847,32.3992,26,"COOP"
"168941","TERRYTOWN 3S",-90.0283,29.8531,3,"COOP"
"169013","THIBODAUX 3",-90.7800,29.7758,5,"COOP"
"169074","TOLEDO BEND",-93.5697,31.2000,55,"COOP"
"169376","VINTON 5W",-93.6775,30.1989,3,"COOP"
"169804","WINNSBORO 2",-91.7092,32.1408,22,"COOP"
"170217","ANDOVER 2",-70.7947,44.6531,253,"COOP"
"170409","BATH",-69.8500,43.9333,8,"COOP"
"170480","BELFAST",-69.0000,44.4000,9,"COOP"
"170583","BETHEL 6 SSE",-70.7642,44.3194,241,"COOP"
"170655","BLANCHARD",-69.5833,45.2667,183,"COOP"
"170814","BRASSUA DAM",-69.8167,45.6667,323,"COOP"
"171131","CAPE NEDDICK",-70.6350,43.2356,40,"COOP"
"171628","CORINNA",-69.2667,44.9167,67,"COOP"
"171975","DOVER-FOXCRO",-69.2500,45.1833,140,"COOP"
"172048","DURHAM",-70.0500,43.9833,44,"COOP"
"172440","EAST SANGERV",-69.2806,45.1369,194,"COOP"
"172700","EUSTIS",-70.4833,45.2167,384,"COOP"
"172878","FORT KENT",-68.6136,47.2400,186,"COOP"
"173046","GARDINER",-69.7833,44.2167,43,"COOP"
"173261","GRAND LAKE S",-67.7833,45.1833,88,"COOP"
"173353","GREENVILLE",-69.5833,45.4667,314,"COOP"
"173570","HARTFORD",-70.3172,44.3747,213,"COOP"
"173862","HOLLIS",-70.6667,43.6500,96,"COOP"
"174086","JACKMAN",-70.2667,45.6333,363,"COOP"
"174193","KENNEBUNKPOR",-70.4667,43.3500,1,"COOP"
"174550","LEVANT",-69.0539,44.9153,125,"COOP"
"174683","LINCOLN SAN",-68.5125,44.3753,52,"COOP"
"174745","LIVERMORE FA",-70.1667,44.4667,116,"COOP"
"174878","MACHIAS",-67.4539,44.7194,6,"COOP"
"174927","MADISON",-69.8833,44.8000,79,"COOP"
"175305","MILLINOCKET",-68.6747,45.6403,110,"COOP"
"175460","MOOSEHEAD",-69.7167,45.5833,313,"COOP"
"175736","NEW SHARON",-70.0000,44.6333,146,"COOP"
"176707","PHILLIPS 2",-70.3936,44.8297,311,"COOP"
"176721","PITTSTON FAR",-69.9647,45.8944,335,"COOP"
"176856","POLAND",-70.3619,44.0075,171,"COOP"
"177037","RANGELEY",-70.6433,44.9678,466,"COOP"
"177039","RANGELEY 2 N",-70.6722,44.9894,543,"COOP"
"177336","RUMFORD 6SW",-70.6564,44.4947,191,"COOP"
"178792","TOPSFIELD 2",-67.7167,45.4167,122,"COOP"
"178817","TURNER",-70.2561,44.2822,172,"COOP"
"178965","VAN BUREN 2",-67.9333,47.1667,139,"COOP"
"178998","WALTHAM",-68.3472,44.6917,44,"COOP"
"179151","WATERVILLE T",-69.6500,44.5333,22,"COOP"
"179294","WESLEY",-67.6664,44.9511,125,"COOP"
"179593","WEST ROCKPOR",-69.1472,44.1922,116,"COOP"
"179720","WINDHAM 2NW",-70.4664,43.8567,114,"COOP"
"179891","WOODLAND",-67.4000,45.1500,43,"COOP"
"180700","BELTSVILLE",-76.9314,39.0303,44,"COOP"
"181125","BRIGHTON DAM",-77.0097,39.1911,101,"COOP"
"182060","CONOWINGO DA",-76.1756,39.6558,12,"COOP"
"182308","CYLBURN",-76.6344,39.3625,122,"COOP"
"182325","DALECARLIA R",-77.1131,38.9400,46,"COOP"
"182906","EMMITSBURG 2",-77.2903,39.6811,127,"COOP"
"183415","FROSTBURG 2",-78.9333,39.6667,661,"COOP"
"185865","MECHANICSVIL",-76.6992,38.4617,30,"COOP"
"186620","OAKLAND 1 SE",-79.3950,39.3983,738,"COOP"
"186800","OXON HILL",-76.9950,38.7956,37,"COOP"
"188065","SAVAGE RIVER",-79.1400,39.5103,456,"COOP"
"188315","SINES DEEP C",-79.4117,39.5242,622,"COOP"
"188557","STEVENSVILLE",-76.3422,38.9753,3,"COOP"
"189070","UPPER MARLBO",-76.7767,38.8653,30,"COOP"
"190120","AMHERST",-72.5333,42.3833,46,"COOP"
"190190","ASHBURNHAM",-71.8833,42.6167,335,"COOP"
"190192","ASHBURNHAM N",-71.9358,42.6617,349,"COOP"
"190408","BARRE FALLS",-72.0333,42.4333,277,"COOP"
"190562","BELCHERTOWN",-72.3500,42.2833,171,"COOP"
"190593","BEVERLY",-70.8500,42.5833,24,"COOP"
"190666","BIRCH HILL D",-72.1167,42.6333,263,"COOP"
"190736","BLUE HILL",-71.1147,42.2122,192,"COOP"
"190840","BRIDGEWATER",-70.9500,41.9500,12,"COOP"
"190998","BUFFUMVILLE",-71.9000,42.1167,152,"COOP"
"191386","CHATHAM WSMO",-69.9667,41.6667,15,"COOP"
"192107","EAST BRIMFIE",-72.1333,42.1167,207,"COOP"
"192372","EAST SANDWIC",-70.4717,41.7144,46,"COOP"
"192501","EDGARTOWN",-70.5167,41.3833,6,"COOP"
"192913","FOXBORO",-71.2378,42.0783,82,"COOP"
"193229","GREENFIELD N",-72.6000,42.5667,40,"COOP"
"193505","HAVERHILL",-71.0608,42.7592,5,"COOP"
"193821","HYANNIS",-70.3000,41.6667,15,"COOP"
"193890","JAMAICA PLAI",-71.1239,42.3031,46,"COOP"
"194105","LAWRENCE",-71.1667,42.7000,18,"COOP"
"194131","LENOX DALE",-73.2506,42.3367,312,"COOP"
"194154","LEVERETT NO",-72.5300,42.4467,96,"COOP"
"194313","LOWELL",-71.3667,42.6500,34,"COOP"
"194502","MARBLEHEAD",-70.8667,42.5000,29,"COOP"
"194711","MIDDLEBORO",-70.9167,41.8833,18,"COOP"
"195175","NATICK",-71.3556,42.2856,52,"COOP"
"195285","NEWBURYPORT",-70.9333,42.8333,5,"COOP"
"195984","NORTON",-71.1333,41.9833,31,"COOP"
"196938","ROCHESTER",-70.9167,41.7833,18,"COOP"
"198573","TULLY LAKE",-72.2167,42.6333,210,"COOP"
"199193","WESTFIELD 3",-72.8031,42.0931,137,"COOP"
"199371","WEST OTIS",-73.2236,42.1819,395,"COOP"
"199891","WOODS HOLE G",-70.6617,41.5317,26,"COOP"
"199972","WORTHINGTON",-72.9167,42.3833,392,"COOP"
"200050","AHMEEK 1SW",-88.4208,47.2919,332,"COOP"
"200089","ALBERTA FORD",-88.4833,46.6500,399,"COOP"
"200094","ALBION",-84.7731,42.2469,287,"COOP"
"200106","ALGONAC WWTP",-82.5436,42.6158,177,"COOP"
"200135","ALLENDALE 3",-85.8958,42.9583,213,"COOP"
"200146","ALMA",-84.6667,43.3833,232,"COOP"
"200197","AMASA 1 W",-88.4539,46.2350,448,"COOP"
"200228","ANN ARBOR SE",-83.6933,42.2417,254,"COOP"
"200342","ATLANTA 1SW",-84.1625,44.9933,273,"COOP"
"200361","AUBURN 2NE",-84.0189,43.6253,184,"COOP"
"200417","BAD AXE",-82.9931,43.8078,228,"COOP"
"200446","BALDWIN",-85.8503,43.9000,255,"COOP"
"200495","BARAGA 5W",-88.6014,46.7953,237,"COOP"
"200718","BERGLAND DAM",-89.5475,46.5869,396,"COOP"
"200758","BEULAH 7 SSW",-86.1311,44.5317,236,"COOP"
"200770","BIG BAY 2 SE",-87.7067,46.7983,198,"COOP"
"200779","BIG RAPIDS W",-85.4822,43.7072,283,"COOP"
"200864","BLOOMINGDALE",-85.9625,42.3842,221,"COOP"
"201150","BURTON 4N",-83.5919,43.0675,231,"COOP"
"201178","CADILLAC 2SW",-85.4217,44.2333,399,"COOP"
"201299","CARO WWTP",-83.3919,43.4839,210,"COOP"
"201435","CLARKSBURG",-87.8456,46.5011,463,"COOP"
"201468","CHARLEVOIX",-85.2672,45.3172,181,"COOP"
"201476","CHARLOTTE",-84.8258,42.5503,275,"COOP"
"201486","CHATHAM EXP",-86.9167,46.3333,265,"COOP"
"201492","CHEBOYGAN",-84.4717,45.6522,179,"COOP"
"201502","CHELSEA",-84.0133,42.3264,274,"COOP"
"201780","COPPER HARBO",-87.8669,47.4675,191,"COOP"
"201818","CORUNNA 2 NE",-84.0744,42.9986,232,"COOP"
"201896","CROSS VILLAG",-85.0142,45.6414,220,"COOP"
"202015","DEARBORN",-83.2314,42.3167,184,"COOP"
"202016","DEARBORN NO.",-83.1736,42.3469,184,"COOP"
"202094","DETOUR VILLA",-83.9011,45.9983,181,"COOP"
"202250","DOWAGIAC 1 W",-86.1317,41.9844,226,"COOP"
"202308","DUNDEE",-83.6489,41.9553,201,"COOP"
"202328","DURAND WWTP",-83.9894,42.9269,235,"COOP"
"202423","EAST TAWAS",-83.5033,44.2842,179,"COOP"
"202437","EATON RAPIDS",-84.6500,42.5167,265,"COOP"
"202598","ENGADINE MDO",-85.5694,46.1278,209,"COOP"
"202691","FARMINGTON",-83.3625,42.4669,219,"COOP"
"202804","FILION 5NNW",-83.0831,43.9158,194,"COOP"
"202851","FLINT 7 W",-83.7694,43.0378,207,"COOP"
"202955","FRANKENMUTH",-83.7161,43.3194,194,"COOP"
"203025","FREMONT 4 WS",-86.0231,43.4456,244,"COOP"
"203078","GARDEN CORNE",-86.5483,45.8981,199,"COOP"
"203096","GAYLORD",-84.6647,45.0297,411,"COOP"
"203188","GLENNIE 2SE",-83.7022,44.5358,272,"COOP"
"203278","GOODRICH",-83.5097,42.9164,175,"COOP"
"203295","GRAND HAVEN",-86.2047,43.0608,184,"COOP"
"203391","GRAYLING",-84.6994,44.6542,346,"COOP"
"203421","GREENLAND 6N",-89.1006,46.8733,241,"COOP"
"203477","GROSSE POINT",-82.8892,42.4078,175,"COOP"
"203529","HALE LOUD DA",-83.7217,44.4633,222,"COOP"
"203585","HARBOR BEACH",-82.6428,43.8322,181,"COOP"
"203628","HARRISVILLE",-83.2808,44.6819,178,"COOP"
"203632","HART",-86.3744,43.6886,213,"COOP"
"203661","HASTINGS",-85.2833,42.6500,250,"COOP"
"203712","HELL",-83.9853,42.4344,268,"COOP"
"203744","HERMAN",-88.3500,46.6667,530,"COOP"
"203769","HESPERIA 4 W",-86.1056,43.5908,238,"COOP"
"203823","HILLSDALE",-84.6411,41.9353,329,"COOP"
"203932","HOUGHTON LAK",-84.8922,44.3119,346,"COOP"
"203947","HOWELL WWTP",-83.9322,42.5936,280,"COOP"
"204090","IRON MTN-KIN",-88.0842,45.7858,326,"COOP"
"204104","IRONWOOD",-90.1833,46.4667,436,"COOP"
"204130","ISHPEMING WW",-87.6894,46.4911,440,"COOP"
"204161","JACOBSVILLE",-88.4317,47.0083,198,"COOP"
"204257","KALKASKA",-85.1728,44.7281,315,"COOP"
"204258","KALKASKA 11S",-85.0486,44.5897,330,"COOP"
"204502","LAKE CITY EX",-85.2050,44.3089,375,"COOP"
"204655","LAPEER WWTP",-83.3075,43.0608,250,"COOP"
"204659","LAPEER 2 W",-83.3606,43.0581,255,"COOP"
"204793","LINDEN WWTP",-83.8036,42.8136,263,"COOP"
"204808","LEXINGTON WA",-82.5328,43.2631,190,"COOP"
"204967","LUPTON 1 S",-84.0233,44.4200,256,"COOP"
"205050","MANCHESTER",-84.0236,42.1508,294,"COOP"
"205073","MANISTIQUE",-86.2511,45.9511,176,"COOP"
"205168","MARLETTE",-83.0736,43.3283,258,"COOP"
"205390","MERRILL 1 N",-84.3300,43.4278,204,"COOP"
"205451","MILAN WWTP",-83.6775,42.0814,207,"COOP"
"205533","MIO WWTP",-84.1156,44.6464,316,"COOP"
"205563","MONROE WWTP",-83.3697,41.9025,175,"COOP"
"205591","MORAN",-84.8361,45.9903,212,"COOP"
"205603","MORENCI",-84.2147,41.7217,235,"COOP"
"205662","MT PLEASANT",-84.7697,43.5858,243,"COOP"
"205690","MUNISING",-86.6628,46.4122,207,"COOP"
"205816","NEWBERRY 3 S",-85.5106,46.3133,259,"COOP"
"205822","NEWPORT 4SSE",-83.2800,41.9497,176,"COOP"
"206007","NORTHPORT 2",-85.6472,45.1319,227,"COOP"
"206012","NW MICHIGAN",-85.6753,44.8831,250,"COOP"
"206080","OIL CITY 3E",-84.5275,43.6092,207,"COOP"
"206300","OWOSSO WWTP",-84.1800,43.0161,223,"COOP"
"206507","PETOSKEY",-84.9764,45.3728,183,"COOP"
"206510","PETOSKEY NCM",-84.9511,45.3614,228,"COOP"
"206658","PONTIAC WWTP",-83.2556,42.6389,271,"COOP"
"206663","PORT HOPE",-82.7142,43.9483,183,"COOP"
"206840","RAPID RIVER",-86.9494,45.8725,182,"COOP"
"206884","REED CITY WW",-85.4989,43.8714,308,"COOP"
"206982","RICHMOND 4 N",-82.7958,42.8783,233,"COOP"
"207096","ROGERS CITY",-83.8139,45.4133,194,"COOP"
"207222","SAGINAW #3",-83.9556,43.4122,183,"COOP"
"207275","ST IGNACE MD",-84.7042,45.8517,185,"COOP"
"207280","ST JOHNS",-84.5542,43.0114,226,"COOP"
"207308","SALINE",-83.7819,42.1611,229,"COOP"
"207312","SALINE 4 SW",-83.8200,42.1236,256,"COOP"
"207350","SANDUSKY",-82.8192,43.4194,236,"COOP"
"207364","SAULT STE MA",-84.4025,46.4867,192,"COOP"
"207407","SCOTTVILLE 2",-86.2453,43.9331,203,"COOP"
"207812","STAMBAUGH 2",-88.6278,46.0556,442,"COOP"
"208043","TAHQUAMENON",-85.2242,46.6011,227,"COOP"
"208080","TECUMSEH",-83.9336,42.0028,238,"COOP"
"208184","THREE RIVERS",-85.6336,41.9422,247,"COOP"
"208202","TIPTON 2 WNW",-84.1108,42.0283,296,"COOP"
"208249","TRAVERSE CIT",-85.6444,44.7606,194,"COOP"
"208417","VANDERBILT 1",-84.4397,45.1703,276,"COOP"
"208443","VASSAR",-83.5828,43.3656,192,"COOP"
"208706","WATTON",-88.6667,46.5103,435,"COOP"
"208800","WEST BRANCH",-84.2011,44.2542,270,"COOP"
"208972","WHITMORE LAK",-83.7831,42.4356,276,"COOP"
"209188","YALE 1 NNW",-82.8028,43.1439,250,"COOP"
"210018","ADA",-96.5153,47.2936,277,"COOP"
"210075","ALBERT LEA 3",-93.3019,43.6064,375,"COOP"
"210190","ANDOVER 1N",-93.2928,45.2533,274,"COOP"
"210252","ARGYLE 4 E",-96.7336,48.3331,265,"COOP"
"210355","AUSTIN 3 S",-92.9903,43.6233,370,"COOP"
"210387","BABBITT",-91.9442,47.7103,455,"COOP"
"210564","BEAVER BAY 5",-91.3672,47.2003,192,"COOP"
"210667","BENSON",-95.6167,45.3167,317,"COOP"
"210809","BLACKDUCK",-94.5169,47.6722,427,"COOP"
"210939","BRAINERD",-94.2000,46.3667,360,"COOP"
"211063","BROWNS VALLE",-96.8278,45.5939,302,"COOP"
"211065","BROWNTON WWT",-94.3400,44.7344,317,"COOP"
"211074","BRUNO 7 ENE",-92.5406,46.3014,378,"COOP"
"211174","BYRON 3 N",-92.6558,44.0722,326,"COOP"
"211198","CALEDONIA",-91.5028,43.6308,355,"COOP"
"211227","CAMBRIDGE ME",-93.2422,45.5678,293,"COOP"
"211250","CAMP NORRIS",-95.1817,48.6100,390,"COOP"
"211263","CANBY",-96.2764,44.7089,379,"COOP"
"211278","CANNON FALLS",-92.9133,44.4828,288,"COOP"
"211374","CASS LAKE",-94.6147,47.3847,414,"COOP"
"211468","CHASKA 2NW",-93.6311,44.8131,281,"COOP"
"211771","COOK",-92.6925,47.8506,401,"COOP"
"211886","CROOKSTON",-96.6167,47.7833,253,"COOP"
"211891","CROOKSTON NW",-96.6028,47.8014,271,"COOP"
"212023","DASSEL",-94.3075,45.0825,332,"COOP"
"212088","DELANO",-93.7947,45.0475,283,"COOP"
"212142","DETROIT LAKE",-95.8542,46.8333,419,"COOP"
"212146","DETROIT LAKE",-95.6056,46.8572,468,"COOP"
"212500","ELK RIVER",-93.5833,45.3000,277,"COOP"
"212555","ELY 25 E",-91.4556,47.9753,425,"COOP"
"212576","EMBARRASS",-92.1958,47.6581,427,"COOP"
"212645","EVELETH WAST",-92.5303,47.4581,440,"COOP"
"212842","FLOODWOOD 3",-92.8700,46.9728,384,"COOP"
"212881","FOREST LAKE",-92.9217,45.3428,276,"COOP"
"213076","GAYLORD",-94.2206,44.5564,310,"COOP"
"213104","GEORGETOWN 1",-96.7758,47.0792,270,"COOP"
"213282","GRAND MARAIS",-90.3606,47.7394,187,"COOP"
"213290","GRAND MEADOW",-92.5644,43.7047,411,"COOP"
"213296","GRAND PORTAG",-89.6908,47.9711,223,"COOP"
"213417","GUNFLINT LAK",-90.8772,48.1603,443,"COOP"
"213455","HALLOCK",-96.9500,48.7667,247,"COOP"
"213567","HASTINGS DAM",-92.8667,44.7667,212,"COOP"
"213965","HUTCHINSON 1",-94.3872,44.8883,320,"COOP"
"214077","ISABELLA 14W",-91.6514,47.5933,530,"COOP"
"214093","ISLAND LAKE",-92.0700,47.0239,430,"COOP"
"214103","ISLE 12 N",-93.5303,46.3092,392,"COOP"
"214106","ITASCA UNIV",-95.1928,47.2258,454,"COOP"
"214176","JORDAN 1 S",-93.6167,44.6500,283,"COOP"
"214191","KABETOGAMA",-93.0294,48.4453,349,"COOP"
"214373","KIMBALL 3N",-94.3056,45.3531,349,"COOP"
"214418","LA CRESCENT",-91.3100,43.8658,197,"COOP"
"214453","LAKEFIELD 2",-95.1519,43.7022,466,"COOP"
"214534","LAKE WILSON",-95.9572,43.9981,525,"COOP"
"214546","LAMBERTON SW",-95.3153,44.2394,349,"COOP"
"214652","LEECH LAKE D",-94.2228,47.2467,397,"COOP"
"214778","LITCHFIELD",-94.5375,45.1369,345,"COOP"
"214861","LONG PRAIRIE",-94.8731,45.9800,393,"COOP"
"214884","LOWER ST ANT",-93.1833,44.9833,290,"COOP"
"214994","MADISON SEWA",-96.1750,45.0069,329,"COOP"
"215204","MARSHALL",-95.7908,44.4706,351,"COOP"
"215325","MELROSE",-94.8022,45.6775,366,"COOP"
"215392","MILACA",-93.6333,45.7667,336,"COOP"
"215488","MINNESOTA CI",-91.8122,44.1600,204,"COOP"
"215563","MONTEVIDEO 1",-95.7536,44.9364,300,"COOP"
"215586","MOORHEAD",-96.7481,46.8878,271,"COOP"
"215615","MORA",-93.3000,45.8833,306,"COOP"
"215638","MORRIS WC EX",-95.8747,45.5903,347,"COOP"
"215902","NEW YORK MIL",-95.3794,46.5106,427,"COOP"
"216152","OLIVIA 3E",-94.9297,44.7628,335,"COOP"
"216211","ORR 3E",-92.7636,48.0508,401,"COOP"
"216276","OTTERTAIL",-95.5464,46.4314,416,"COOP"
"216287","OWATONNA",-93.2333,44.1000,351,"COOP"
"216547","PINE RIVER D",-94.1089,46.6694,381,"COOP"
"216565","PIPESTONE",-96.3258,44.0139,520,"COOP"
"216612","POKEGAMA DAM",-93.5861,47.2508,390,"COOP"
"216654","PRESTON",-92.0747,43.6725,283,"COOP"
"216787","RED LAKE FAL",-96.2806,47.8825,307,"COOP"
"216822","RED WING DAM",-92.6100,44.6103,206,"COOP"
"216839","REDWOOD FALL",-95.0942,44.5825,255,"COOP"
"216920","RICE",-94.2078,45.7578,332,"COOP"
"217107","ROSEMOUNT AG",-93.0975,44.7178,290,"COOP"
"217149","ROTHSAY",-96.2869,46.4808,377,"COOP"
"217184","RUSHFORD",-91.7500,43.8053,235,"COOP"
"217326","ST JAMES FIL",-94.6122,43.9908,319,"COOP"
"217379","ST PAUL 3SW",-93.1539,44.9311,286,"COOP"
"217405","ST PETER 2 S",-93.9903,44.3061,259,"COOP"
"217460","SANDY LAKE D",-93.3211,46.7953,376,"COOP"
"217602","SHERBURN 3 W",-94.7744,43.6303,402,"COOP"
"218039","STILLWATER 2",-92.8522,45.0453,274,"COOP"
"218227","THEILMAN 1 S",-92.1942,44.2814,244,"COOP"
"218307","TOWER DNR",-92.2786,47.8075,436,"COOP"
"218311","TOWER 3 S",-92.2858,47.7553,445,"COOP"
"218323","TRACY",-95.6308,44.2394,428,"COOP"
"218450","UNIV OF MINN",-93.1833,44.9833,296,"COOP"
"218679","WARROAD",-95.3150,48.9094,326,"COOP"
"218692","WASECA EXP S",-93.5328,44.0725,351,"COOP"
"218700","WASKISH 4NE",-94.3939,48.2064,366,"COOP"
"218808","WELLS",-93.7333,43.7333,365,"COOP"
"218907","WHEATON",-96.4953,45.8050,310,"COOP"
"218947","WHITE ROCK D",-96.5650,45.8619,312,"COOP"
"218986","WILD RIVER S",-92.7489,45.5231,287,"COOP"
"219001","WILLMAR 2N",-95.0422,45.1550,352,"COOP"
"219033","WINDOM",-95.1194,43.8736,419,"COOP"
"219046","WINNEBAGO",-94.1883,43.7689,338,"COOP"
"219072","WINONA DAM 5",-91.6703,44.0875,202,"COOP"
"219134","WOLF RIDGE E",-91.2167,47.4500,427,"COOP"
"219170","WORTHINGTON",-95.5803,43.6450,479,"COOP"
"219173","WRIGHT 4 NW",-93.0700,46.7181,395,"COOP"
"219249","ZUMBROTA",-92.6667,44.3000,300,"COOP"
"220021","ABERDEEN",-88.5214,33.8300,60,"COOP"
"220290","ASHLAND",-89.1767,34.8328,195,"COOP"
"220488","BATESVILLE 2",-89.9806,34.3061,67,"COOP"
"220585","BEAUMONT EXP",-88.9167,31.2333,58,"COOP"
"220955","BOONEVILLE",-88.5700,34.6686,149,"COOP"
"221094","BROOKHAVEN C",-90.4578,31.5444,133,"COOP"
"221389","CANTON 4N",-90.0361,32.6714,76,"COOP"
"221489","CARTHAGE",-89.5389,32.7506,113,"COOP"
"221707","CLARKSDALE",-90.5572,34.1864,53,"COOP"
"221738","CLEVELAND",-90.7389,33.7367,40,"COOP"
"221852","COLLINS",-89.5572,31.6419,88,"COOP"
"221865","COLUMBIA",-89.8361,31.2503,46,"COOP"
"221962","CORINTH 7 SW",-88.6178,34.8792,141,"COOP"
"222094","CRYSTAL SPRI",-90.3667,31.9667,148,"COOP"
"222385","D LO 2 SW",-89.9331,31.9544,102,"COOP"
"222896","EUPORA 2 E",-89.2356,33.5625,134,"COOP"
"223208","FULTON 3 W",-88.4569,34.2614,107,"COOP"
"223645","GRENADA 5 NN",-89.7842,33.8803,85,"COOP"
"223887","HATTIESBURG",-89.3392,31.2547,117,"COOP"
"223975","HERNANDO",-89.9853,34.8161,116,"COOP"
"224001","HICKORY FLAT",-89.1825,34.6261,122,"COOP"
"224377","INDEPENDENCE",-89.8214,34.6989,105,"COOP"
"224776","KOSCIUSKO",-89.5797,33.0583,125,"COOP"
"224869","LAMBERT 1 W",-90.3058,34.2017,47,"COOP"
"224939","LAUREL",-89.1231,31.6756,69,"COOP"
"225247","LOUISVILLE",-89.0711,33.1353,177,"COOP"
"225361","MACON 3 N",-88.5586,33.1544,76,"COOP"
"225987","MONTICELLO",-90.1261,31.6056,62,"COOP"
"226009","MOORHEAD",-90.5094,33.4519,36,"COOP"
"226177","NATCHEZ",-91.3406,31.5894,59,"COOP"
"226308","NEWTON EXP S",-89.0811,32.3378,106,"COOP"
"226476","OAKLEY EXP S",-90.5133,32.2061,62,"COOP"
"226513","OKATIBBEE RE",-88.8111,32.4758,107,"COOP"
